"","X","sitename","plotid","genotype","date","Stem","Leaf","Root","Rhizome","precip","LAI","NDVI","Height"
"1112308",1112308,"central","B",10007,"1999-07-15",10.56,5.31,4.59,2.26335901883756,0.00927479350880516,3.91,1.55,1.77
"1150741",1150741,"central","A",10010,"2004-06-18",6.76,2.86,1.81,0.958346461863898,10.2061142996295,2.08,1.41,1.11
"1714240",1714240,"central","B",10057,"2000-10-05",22.24,1.7,1.67,7.29497301267229,0.001523309829836,1.34,1.41,2.31
"993122",993122,"central","C",9997,"2000-05-04",0,1.23,1.09,2.20874596421145,0.0072408153730024,0.82,1.18,0.4
"1880941",1880941,"north","A",10071,"2007-06-21",0,2.1,1.82,2.20727815972801,0,1.35,1.21,0.61
"888842",888842,"south","C",9988,"2000-05-13",0.22,1.68,1.89,2.40904844794735,0.313367423299399,1.21,1.23,0.54
"2576213",2576213,"north","B",10129,"1999-03-29",0,0.19,0.21,12.7310666895533,0.0540675157084036,0.13,0.85,0.19
"792689",792689,"south","C",9980,"2000-09-01",13.62,2.33,1.99,5.36254036360487,0.00198924253029818,1.6,1.39,2.09
"1625405",1625405,"north","D",10050,"2007-10-24",21.13,2.51,2.58,8.81182622035111,2.53741506795454,1.76,1.46,2.71
"2096313",2096313,"north","C",10089,"2004-05-27",6.93,4.13,3.58,4.04135821965244,0.891975654925265,2.71,1.44,1.14
"2298271",2298271,"south","A",10105,"2007-10-07",14.95,2.05,3.18,3.97987591176953,0.00034671160533404,1.39,1.21,2.03
"915472",915472,"north","B",9991,"1997-04-21",0,0.36,0.33,6.21445675312168,1.11904459507977,0.25,0.87,0.23
"652356",652356,"north","C",9969,"2004-05-30",8.53,3.99,3.63,3.68316879666549,0.00157143636556743,2.59,1.53,1.13
"1763050",1763050,"central","C",10061,"1999-05-19",3.46,5.14,5.43,3.44370348202756,9.30804543323889,3.6,1.62,0.91
"1048332",1048332,"north","B",10002,"2000-07-18",13.07,4.34,2.96,2.83340499957415,0.0102812374154425,3.07,1.52,2.2
"321850",321850,"south","B",9941,"1997-05-03",0,1.75,1.65,6.42398824132167,17.1431596634164,1.26,1.34,0.47
"400536",400536,"north","A",9948,"2000-07-23",18.86,4.27,3.38,5.50108883560674,0.0117514586227288,2.92,1.53,2.25
"1893658",1893658,"central","D",10072,"2000-08-09",12.86,2.28,1.7,4.0638200323838,6.73033836367603,1.55,1.36,1.69
"1774407",1774407,"central","B",10062,"2000-10-07",23.15,1.81,1.86,7.88141874795732,7.67397848809853,1.4,1.22,2.51
"2041252",2041252,"central","A",10084,"2004-08-26",17.57,3.35,1.91,5.0851990679023,4.35178409693413,2.23,1.42,2.34
"2171236",2171236,"central","B",10095,"1999-08-08",21.71,5.44,4.36,4.70775449458339,6.12423943924073,3.85,1.75,2.56
"671417",671417,"south","B",9970,"2004-05-04",0,2.42,2.33,5.6023992007063,0.933689597393825,1.81,1.35,0.58
"2567468",2567468,"central","D",10128,"2000-07-02",9.33,2.82,2.17,2.4927735585283,1.0674728035561,1.89,1.37,1.13
"1342419",1342419,"central","C",10026,"2007-04-18",0,0.34,0.31,4.85817292057128,0.171759707994884,0.22,0.85,0.23
"758290",758290,"north","D",9978,"1999-04-17",0.74,2.62,2.54,9.04431436402162,11.3701011496726,1.77,1.4,0.59
"2142171",2142171,"north","D",10093,"1999-07-12",21.64,7.87,6.41,3.83422161494597,0.007645992749558,5.36,1.66,2.7
"2563",2563,"north","C",9915,"2004-05-19",4.61,3.31,3.48,4.2030332992,21.9741158016766,2.29,1.39,0.81
"2714383",2714383,"central","A",10140,"1997-04-20",0,0.35,0.36,8.76965553393364,5.00009447936749,0.25,0.96,0.25
"1353751",1353751,"central","C",10027,"1997-06-21",10.69,5.23,5.22,2.24533855863253,4.02578290134527,3.69,1.64,1.33
"1252803",1252803,"north","B",10019,"2000-04-19",0,0.4,0.38,3.12047256987771,0.149102723203676,0.27,0.97,0.27
"1160223",1160223,"central","B",10011,"1997-07-11",13.24,4.88,3.66,3.10956800049387,0.0320213366382706,3.47,1.55,1.7
"2233919",2233919,"central","A",10100,"2007-07-07",6.79,2.63,2.56,2.50155292195508,0.163448542474444,1.98,1.39,1.35
"919012",919012,"central","D",9991,"2000-09-05",15.95,2,1.57,5.34525308150352,0.01234782122537,1.39,1.44,2.01
"1311",1311,"north","B",9915,"1999-09-05",21.92,7.86,6.94,2.963936484743,0.00791367053726761,5.67,1.64,2.58
"423963",423963,"north","C",9950,"2007-07-16",3.19,2.39,2.21,2.56428964740044,0.0491733889729121,1.55,1.44,0.65
"1080466",1080466,"south","B",10004,"2000-08-29",24.95,4.04,3.99,8.82009986084168,4.97715793274384,2.75,1.52,3.35
"1448881",1448881,"central","B",10035,"2007-09-21",0.58,2.71,3.84,2.81451752583646,0.000339535018125828,1.98,1.45,1.05
"578051",578051,"north","D",9963,"2000-06-19",7.51,4.16,3.15,1.14342074001059,0.0336847369494246,2.95,1.48,1.3
"1763676",1763676,"central","C",10061,"2007-07-29",8.78,2.25,1.89,3.51873257196406,0.075537619895963,1.56,1.44,1.33
"1516070",1516070,"south","A",10040,"2007-08-12",10.53,3.84,3.31,3.19852226946561,0,2.56,1.55,1.39
"1052922",1052922,"central","C",10002,"1997-06-17",2.6,4.83,5.1,2.45994984519191,60.2672073525691,3.44,1.83,1.15
"1963808",1963808,"north","C",10078,"2000-07-07",10.27,3.35,3.65,3.2123267062018,0.0268638155244359,2.45,1.5,1.45
"1881355",1881355,"central","D",10071,"1999-05-31",9,3.86,3,1.47410000072107,2.87204302896741,2.73,1.48,1.27
"1045991",1045991,"south","A",10001,"1997-09-03",18.62,4.3,3.25,4.48384802193035,1.40469310517898,3.24,1.52,2.33
"2348438",2348438,"north","C",10110,"1997-07-01",12.39,3.61,3.65,2.31567684858996,17.292470136667,2.76,1.56,1.41
"404150",404150,"central","A",9948,"1997-08-01",14.47,5.9,6.03,1.8937547438453,0.00538734804985792,4.34,1.61,2.31
"1014878",1014878,"central","D",9999,"1997-09-20",24.52,4.15,3.04,8.88154059319893,0.0511469049736017,3.04,1.47,3.19
"2131841",2131841,"north","C",10092,"1997-06-28",10.54,3.33,2.74,2.21956254053108,0.00295144428600144,2.42,1.39,1.36
"120086",120086,"south","A",9924,"2004-10-16",17,3.2,4.68,5.33955510737087,7.60738376203285,2.47,1.48,2.28
"1303344",1303344,"north","A",10023,"2007-06-08",2.5,2.57,2.67,3.66566888043468,0.0026428372839136,1.95,1.36,0.78
"1676311",1676311,"north","A",10054,"2004-10-17",32.55,4.57,3.36,14.0785904726231,0.132352592340839,3.16,1.47,4.3
"1918346",1918346,"central","B",10074,"1997-08-24",27.15,4.61,3.43,8.1792456415161,0.0129387117896692,3.43,1.59,3.45
"1267259",1267259,"north","A",10020,"2007-06-22",1.44,2.9,3.01,3.37351333461275,0.00530756311527621,2.07,1.61,0.7
"1278469",1278469,"north","A",10021,"1997-05-31",2.94,3.23,3.14,3.53558878617036,1.71660473705167,2.29,1.4,0.64
"1692411",1692411,"central","A",10055,"2007-06-14",2.2,2.14,2.51,1.89587502189057,0,1.52,1.28,0.85
"628503",628503,"north","C",9967,"2007-06-25",2.21,2.75,2.54,2.87346393759672,0.00374661338960219,1.94,1.37,0.69
"2546426",2546426,"central","A",10126,"2000-07-24",18.7,4.6,2.63,3.32582351866379,0.0133776211388805,2.92,1.48,2.2
"1797949",1797949,"central","B",10064,"1997-06-18",7.66,4,3.03,1.22444356391389,13.8433709942892,2.92,1.66,1.21
"984769",984769,"south","C",9996,"1997-07-28",14.09,4.2,3.05,4.3853504060274,0.0112936405212058,3.25,1.5,2.6
"489885",489885,"south","D",9955,"2000-11-03",25.61,2.27,3.14,8.6208314073977,1.68269227698276,1.57,1.47,3.13
"2146631",2146631,"central","D",10093,"2007-04-10",0,0.18,0.17,6.19214115978596,0,0.12,0.84,0.18
"935157",935157,"south","D",9992,"2004-05-23",0,3.22,3.04,3.02021447398675,6.09533660989568,2.12,1.4,0.79
"1520184",1520184,"central","D",10041,"1997-07-02",13.32,4.52,3.47,2.21104926558434,0.549371668631412,3.35,1.58,1.68
"1729810",1729810,"south","B",10058,"1997-08-10",17.59,4.64,3.69,5.75494659255672,9.72710024829673,3.33,1.53,2.12
"297966",297966,"south","B",9939,"1999-03-28",0,0.08,0.07,2.50479958970054,4.95578984187881e-05,0.05,0.81,0.13
"2096699",2096699,"north","A",10089,"1997-05-17",1,2.59,2.74,5.06425657625294,0.0163326774720406,1.96,1.42,0.6
"404650",404650,"central","A",9948,"2004-05-04",0.04,0.62,0.65,1.56309472617871,0.00194330298753994,0.46,1.06,0.34
"146596",146596,"north","C",9927,"1999-06-10",11.51,6.07,5.04,2.80760479311295,1.24805516056804,4.34,1.69,1.76
"1686689",1686689,"north","C",10055,"1997-09-05",20.23,4.21,4.42,6.42096949810265,0.0016746800711695,2.92,1.55,2.32
"445890",445890,"north","D",9952,"2004-07-12",14.72,4.47,2.49,2.24237169756496,0.285017181277776,3.53,1.49,1.91
"2270624",2270624,"south","D",10103,"2000-06-11",3.08,3.21,2.53,1.58486677954376,0.107016121103876,2.3,1.47,1.05
"2565141",2565141,"north","C",10128,"1997-10-18",23.34,5.06,4.03,9.72974236106017,0.00474389967894225,3.46,1.66,3.02
"735073",735073,"north","B",9976,"1997-07-26",17.51,5.99,5.38,1.87699625563365,2.28299292530936,4.16,1.47,2.27
"2099800",2099800,"central","C",10089,"1997-06-24",10.91,5.69,5.36,2.37252928521905,2.37627804207725,3.87,1.58,1.57
"2482267",2482267,"north","A",10121,"2000-08-14",18.43,4.18,3.59,7.42705933852039,0.00898021237070434,3,1.48,2.37
"290965",290965,"north","C",9939,"1999-05-14",3.47,2.47,2.51,1.08129925254802,22.8167535029264,2.02,1.32,0.73
"379721",379721,"central","C",9946,"2004-08-15",23.9,4.5,2.27,6.2836981058215,0.00957818515963645,2.82,1.6,3.04
"2100788",2100788,"central","A",10089,"1997-07-17",18.8,6.37,5.8,1.91013464045209,1.18041866022339,4.42,1.73,2.3
"2323606",2323606,"north","B",10108,"1999-06-23",21.49,8.18,7.67,3.22209043537571,3.28824175880816,5.78,1.64,2.48
"1854272",1854272,"north","B",10069,"1999-05-07",2.97,4.44,4.42,5.05271041448764,13.5929471644768,2.76,1.59,0.76
"778781",778781,"south","D",9979,"2004-07-15",16.91,4.29,3.21,4.76266778253865,3.30501471267801,2.9,1.63,2.04
"1257248",1257248,"central","B",10019,"2007-05-19",6.24,3.3,3.35,3.31981878853916,0,2.27,1.41,0.89
"1135748",1135748,"central","D",10009,"2004-07-29",17.57,5,3.8,6.07570282548275,0,3.57,1.56,2.31
"1617020",1617020,"central","D",10049,"2004-06-11",14.64,5.46,4.09,3.84954550642769,1.11149367604389,3.66,1.56,2.01
"1639864",1639864,"north","A",10051,"2000-05-13",1.05,3.64,3.6,4.04007960704445,1.49441360791594,2.5,1.73,0.72
"351246",351246,"north","C",9944,"1999-09-07",20.67,6.09,5.21,5.65435873548744,0.0089062910656666,4.47,1.64,2.65
"876667",876667,"south","C",9987,"1999-07-10",11.83,5.26,4.04,2.11115863625869,3.25121381335924,3.64,1.48,1.8
"2326264",2326264,"central","D",10108,"2007-10-01",0,2.58,2.49,3.05993595263618,0,1.73,1.37,0.73
"1918379",1918379,"central","B",10074,"1997-09-26",34.32,4.52,3.38,11.2102659503812,0.0328191013151117,3.19,1.66,3.83
"737698",737698,"north","A",9976,"2004-09-08",35.56,4.97,3.54,13.5642598276085,0.0924180515449232,3.09,1.6,4.04
